Sentence Output
"Who makes chicken `` finger lickin '' good ?" HUM:ind
"What is a transistor ?" DESC:def
"What does the term 3 mean to a newspaper editor ?" DESC:def
"What Hungarian cardinal was first a state prisoner and then a refugee in the U.S. embassy 1956-1971 ?" HUM:ind
"Where on the Internet can I get chemicals importers ?" LOC:other
"What is the origin of the word `` pallbearer ? ''" DESC:desc
"What do ladybugs eat ?" ENTY:food
"What is the name of Kevin Costner 's movie about Sioux Indians ?" ENTY:cremat
"What disease is transmitted by the Anopheles mosquito ?" ENTY:dismed
"What university was Woodrow Wilson President of ?" HUM:gr
"What are all the different kinds of contraceptives ?" ENTY:dismed
"Who gave King Arthur the round table ?" HUM:ind
"Who was the inventor of the stove ?" HUM:ind
"What is a turnkey contract ?" DESC:def
"What constellation represents a hunter with club and shield ?" LOC:other
"What did Shostakovich write for Rostropovich ?" ENTY:cremat
"Who spoke the only word in Mel Brooks 's Silent Movie ?" HUM:ind
"How many dogs pull a sled in the Iditarod ?" NUM:count
"What does MSG stand for ?" ABBR:exp
"Why do the chickenpoxs last so long ?" DESC:reason
"What planet did Percival Lovell discover ?" LOC:other
"When was Richard Nixon born ?" NUM:date
"What is the name of actor Rex Harrison 's son , who starred in a modestly popular TV show during the late 1960's ?" HUM:ind
"What daughter of Henry VIII and Anne Boleyn became queen of England ?" HUM:ind
"How many varieties of apple are there ?" NUM:count
"When did World War I start ?" NUM:date
"How do you tell somebody you like them ?" DESC:manner
"Who became president of the U.S. in 1789 ?" HUM:ind
"What athlete makes the most money from sports merchandise sales ?" HUM:ind
"What is the world record for the longest hair ?" NUM:dist
"What 's the highest hand in straight poker ?" ENTY:other
"What is HTML ?" ABBR:exp
"Who was Darth Vader 's son ?" HUM:ind
"How many hummingbird eggs could fit in one ostrich egg ?" NUM:count
"What effects do nitrates have on the environment ?" DESC:desc
"What group asked the musical question Do You Believe in Magic ?" HUM:gr
"What 's the international radio code word for the letter B ?" ENTY:word
"Where can I get a photograph of professor Randolph Quirk ?" LOC:other
"What is Bill Gates of Microsoft E-mail address ?" LOC:other
"What 's the only East european country not tied to the ruble ?" LOC:country
"On what T.V. show could Tom Terrific be found ?" ENTY:cremat
"What country saw the origin of the Asian Flu ?" LOC:country
"What continent 's name appears on the upper left corner of a Budweiser label ?" LOC:other
"What is Megan 's law ?" DESC:def
"Where does Ray Bradbury 's Chronicles take place ?" LOC:other
"What is Larry King 's occupation ?" HUM:title
"What Chilean president was killed in a 1973 coup d 'etat ?" HUM:ind
"How many propellers helped power the plane the Wright brothers flew into history ?" NUM:count
"How long do you have to pay back debt after claiming chapter 11 bankruptcy ?" NUM:period
"What is mandibulofacial dysostosis ?" DESC:def
"Which of the five senses develops first ?" ENTY:other
"What Indian tribe is F Troop perpetually doing battle with ?" HUM:gr
"What are all the southern states of the U.S. ?" LOC:state
"Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?" HUM:ind
"What writer is famous for physically putting himself into the center of his subject matter ?" HUM:ind
"What are bear and bull markets ?" DESC:def
"Who invented the electric guitar ?" HUM:ind
"What are two plants that clothes are made from ?" ENTY:plant
"What landmark Italian restaurant can be found at 239 West 48th Street , New York City ?" LOC:other
"How many points is a disk in the center hole worth in Crokinole ?" NUM:count
"How can I call a friend in another country when I do not know the telephone number ?" DESC:manner
"What penalty space lies between Baltic Avenue and Reading Railroad on a Monopoly board ?" ENTY:other
"How do I know if I 'm jealous of someone ?" DESC:manner
"What 2 statues did France give to other countries ?" ENTY:cremat
"What is the fastest growing state in the U.S.A. in 1998 ?" LOC:state
"What does the number `` 5 '' stand for on FUBU clothing ?" ABBR:abb
"What concerts are held in New York this week ?" ENTY:event
"How can I get in touch with Michael Moore of `` Roger & Me '' ?" DESC:manner
"What city boasts Penn 's Landing , on the banks of the Delaware river ?" LOC:city
"What did Mr. Magoo flog on TV for General Electric ?" ENTY:other
"What is chromatology ?" DESC:def
"What horse did Zorro ride ?" ENTY:animal
"What Peter Blatty novel recounts the horrors of Regan MacNeil 's possession by the devil ?" ENTY:cremat
"What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?" HUM:ind
"Who is Prince Naseem Hamed ?" HUM:desc
"When was child labor abolished ?" NUM:date
"Woodrow Wilson served as president of what university ?" HUM:gr
"What European capital celebrated its 2 , 000th anniversary in 1951 ?" LOC:city
"What cooking oil has `` corn goodness '' ?" ENTY:food
"What is Bombay duck ?" DESC:def
"When did communist control end in Hungary ?" NUM:date
"What TV detective did Craig Stevens play ?" HUM:ind
"In what year was Gandhi assassinated ?" NUM:date
"What astronomical phenomenon takes place in Jan. 1999 ?" ENTY:event
"What is swap math ?" DESC:def
"What does the method called `` cold fusion '' create ?" ENTY:techmeth
"What is a handheld PC ?" DESC:def
"Who did Sara Jane Moore try to assassinate ?" HUM:ind
"What makes Black Hills , South Dakota a tourist attraction ?" DESC:reason
"How do I contact answers.com ?" DESC:manner
"How many types of lemurs are there ?" NUM:count
"What product did Robert Conrad dare people to knock off his shoulder ?" ENTY:product
"How can I find out how much income tax is paid on Social Security income on the 1998 income tax ?" DESC:manner
"What is InterLata Internet service ?" DESC:def
"What are dingoes ?" DESC:def
"What do the letters D.C. stand for in Washington , D.C. ?" ABBR:exp
"What century did art 's Romantic Period begin in ?" NUM:date
"What Pope inaugurated Vatican International Radio ?" HUM:ind
"What American sergeant lost both of his hands in combat during World War II and then went on to act in a single movie for which he won two Oscars ?" HUM:ind
"What is the difference between a classical and an acoustic guitar ?" DESC:desc
"What are the unemployment statistics for the years 1965 and 1990 ?" NUM:other
"What are the best ways to improve employee morale at low cost ?" ENTY:techmeth
"Where can I find a list of all the companies in America that offer a direct stock purchase plan ?" LOC:other
"What sign is The Water Carrier the zodiacal symbol for ?" ENTY:symbol
"What is damage to business and government caused by bureaucracy ?" ENTY:other
"What 's the abbreviation for limited partnership ?" ABBR:abb
"How many hostages were killed in the Entebbe raid ?" NUM:count
"Who played Humpty Dumpty in the 1933 film Alice in Wonderland ?" HUM:ind
"What Metropolis landmark was first introduced in the Superman cartoons of the 1940 's ?" LOC:other
"How many liberty bells have there been ?" NUM:count
"What actor dressed up as Santa Claus and had a once-a-year affair with actress Shelley Winters every Christmas for many years ?" HUM:ind
"How long does it take light to reach the Earth from the Sun ?" NUM:period
"What political party is Sinn Fein a part of ?" HUM:gr
"What 's the last line of Dickens 's A Christmas Carol ?" DESC:desc
"What country contains the westernmost point in South America ?" LOC:country
"What is platinum ?" DESC:def
"How much will gas be taxed in California by the year 2000 ?" NUM:money
"What 's the middle name of movie producer Joseph E. Levine ?" HUM:ind
"How many days does a typical mayfly live ?" NUM:count
"What is Larry King 's job ?" HUM:title
"What 's the tallest building in New York City ?" LOC:other
"What is the chemical reactivity of neon ?" NUM:other
"Who was the second man to walk on the moon ?" HUM:ind
"What is the origin of infinity ?" DESC:desc
"How many years is Johnnie Walker Black Label aged ?" NUM:count
"What is Judy Garland 's date of birth ?" NUM:date
"What is the name of a language spoken by the Sioux ?" ENTY:lang
"Name the child left on a doorstep at the beginning of Gasoline Alley ." HUM:ind
"What are the highest-paying odds on a roulette table ?" NUM:perc
"What does the donation process entail ?" DESC:def
"What feathered cartoon characters do Yugoslavians know as Vlaja , Gaja , and Raja ?" HUM:ind
"In what city is the headquarters of Sinn Fein ?" LOC:city
"Who is the director of the international group called the Human Genome Organization , HUGO , that is trying to coordinate gene-mapping research worldwide ?" HUM:ind
"What fossilizes to form coprolite ?" ENTY:other
"Where does the Santa Fe Trail begin and end ?" LOC:other
"What is Java ?" DESC:def
"What is a fear of slime ?" ENTY:dismed
"Who made the first surfboard ?" HUM:ind
"How do I write to my Congressman ?" DESC:manner
"What 's a Craps player called ?" ENTY:termeq
"What 's the only work by Michelangelo that bears his signature ?" ENTY:cremat
"In what part of Africa is Mozambique located ?" LOC:other
"How many pounds are there in a stone ?" NUM:weight
"What Scottish poet penned To a Mouse and To a Louse ?" HUM:ind
"What is a Devo hat ?" DESC:def
"How does James Bond like his martinis ?" DESC:manner
"Which mayonnaise refers to itself as `` real '' mayonnaise ?" ENTY:food
"What 's the Red Planet ?" DESC:def
"How many people was Randy Craft convicted of killing ?" NUM:count
"Who is the fastest swimmer in the world ?" HUM:ind
"Hitler came to power in Germany in what year ?" NUM:date
"What Erica Jong novel deals with Isadora Wing 's fear ?" ENTY:cremat
"What is habeas corpus ?" DESC:def
"What is literary criticism ?" DESC:def
"How many horses are there on a polo team ?" NUM:count
"What were the cities of Dickens 's A Tale of Two Cities ?" LOC:city
"What is the capital of Burkina Faso ?" LOC:city
"How many counties are in Indiana ?" NUM:count
"What are the various ways in which one can measure IT User Satisfaction Level ?" ENTY:techmeth
"Who makes the `` Die Hard '' car battery ?" HUM:ind
"What is the name of the tallest mountain in the world ?" LOC:mount
"Who is the director of intergovernmental affairs for the San Diego county ?" HUM:ind
"What is cunnilingus ?" DESC:def
"What European country is home to the beer-producing city of Budweis ?" LOC:country
"How much is a Canadian 1967 twenty dollar gold coin worth ?" NUM:money
"What party was Winston Churchill a member of ?" HUM:gr
"What California bridge was Don Brown the first to cross , on May 27 , 1937 ?" LOC:other
"What baseball expression came from the nautical term for ships sailing between the Atlantic and Pacific before the Panama Canal ?" DESC:desc
"Who portrayed Sherlock Holmes in 14 films between 1939 and 1946 ?" HUM:ind
"What film opens with an assassin tumbling from the Seattle Space Needle ?" ENTY:cremat
"What does R.E.M. stand for , as in the rock group R.E.M. ?" ABBR:exp
"What does a collier mine ?" ENTY:other
"What Nevada center has been dubbed The Biggest Little City in the World ?" LOC:city
"How many miles is it from Frankfurt , Germany to Salzburg , Austria ?" NUM:count
"What major league baseball team compiled the best won-lost record between 1957 and 1983 ?" HUM:gr
"What is the difference between terry cloth and French terry ?" DESC:desc
"What ability has the silkworm moth lost through domestication ?" ENTY:other
"How do birds have sex ?" DESC:manner
"Who was Buffalo Bill ?" HUM:desc
"Where does Mother Angelica live ?" LOC:other
"How did water appear on the earth ?" DESC:manner
"What does Inuit and Eskimo mean ?" DESC:def
"What causes the body to shiver in cold temperatures ?" DESC:reason
"What type of currency is used in China ?" ENTY:currency
"How does an ion drive work ?" DESC:manner
"What is the song Stairway to Heaven by Led Zeppelin about ?" DESC:desc
"What player squats an average of 3 times during a baseball doubleheader ?" HUM:ind
"What is the origin of blue for boys and pink for girls ?" DESC:desc
"Name the men 's cologne that is associated with the sea ." ENTY:other
"Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?" LOC:other
"What Tokyo street glitters with famed department stores and nightclubs ?" LOC:other
"Who was the king who was forced to agree to the Magna Carta ?" HUM:ind
"How do I impress a guy ?" DESC:manner
"When are the Oscars Academy Awards in 1999 ?" NUM:date
"What airport is on the Piccadilly subway line ?" LOC:other
"What century 's the setting for TV 's The Adventures of Robin Hood ?" NUM:date
"What D.H. Lawrence novel was originally titled Tenderness ?" ENTY:cremat
"What does the name `` Sabrina '' mean ?" DESC:def
"Who is the current prime minister and president of Russia ?" HUM:ind
"Where is Basque country located ?" LOC:other
"What is the mascot for Notre Dame University ?" ENTY:other
"Name the Ranger who was always after Yogi Bear ." HUM:ind
"What year did the United States pass the Copyright law ?" NUM:date
"How many oceans are there and name them ?" NUM:count
"In what medium is Stuart Hamblen considered to be the first singing cowboy ?" ENTY:cremat
"What is fellatio ?" DESC:def
"What city is Logan Airport in ?" LOC:city
"What culture developed the idea of potlatch ?" HUM:gr
"Who 's the founder and editor of The National Review ?" HUM:ind
"How many varieties of twins are there ?" NUM:count
"What four tournaments make up tennis ' Grand Slam ?" ENTY:sport
"Who is Archie Bunker 's son-in-law ?" HUM:ind
"Which of the following TV newsmen was a Rhodes scholar ?" HUM:ind
"What is the current unemployment rate in the U.S. ?" NUM:perc
"What color is the cross on Switzerland 's flag ?" ENTY:color
"What plants are found in an estuary ?" ENTY:plant
"What is the origin of the peace symbol ?" DESC:desc
"Where can I take a test that will tell me what I should be when I grow up ?" LOC:other
"What is a pig in a poke ?" DESC:def
"What must a Las Vegas blackjack dealer do when he reaches 16 ?" DESC:desc
"How old was George Washington when he died ?" NUM:period
"What New England state covers 5.9 square miles ?" LOC:state
"What is a `` False Moon '' ?" DESC:def
"Who seized power from Milton Obote in 1971 ?" HUM:ind
"What country was A Terrible Beauty to Leon Uris ?" LOC:country
"Where was George Washington born ?" LOC:other
"What is tyvek ?" DESC:def
"What is the greatest source of `` white '' magic in the Marvel Universe ?" ENTY:other
"How many lakes are there on the Earth ?" NUM:count
"Why is it called `` hamburger '' if there is no ham in it ?" DESC:reason
"How did Asia get its name ?" DESC:manner
"Who played the original Charlie 's Angels ?" HUM:ind
"What 19th-century painter died in the Marquesas Islands ?" HUM:ind
"Name Dick Tracy 's two children ." HUM:ind
"What is a mathematical factor ?" DESC:def
"Who created the character James Bond ?" HUM:ind
"How big is a quart ?" NUM:volsize
"What Asian leader was known as The Little Brown Saint ?" HUM:ind
"What 1953 film won Frank Sinatra a best supporting actor Oscar ?" ENTY:cremat
"When was Franklin D. Roosevelt stricken with polio ?" NUM:date
"What does the number 33 on the Rolling Rock beer bottle mean ?" DESC:def
"How much did Lucy Van Pelt originally charge for psychiatric sessions ?" NUM:money
"What camera company said , `` If you haven 't got the time , we 've got the camera ? ''" HUM:gr
"What does the Peugeot company manufacture ?" ENTY:product
"Who comprised the now-defunct comic book team known as the Champions ?" HUM:ind
"Who was the captain of the tanker , Exxon Valdez , involved in the oil spill in Prince William Sound , Alaska , 1989 ?" HUM:ind
"Hazmat stands for what ?" DESC:def
"What is the name given to the Islamic counterpart of the Red Cross ?" ENTY:termeq
"What is a philanthropist ?" DESC:def
"Who wrote ` The Pines of Rome ' ?" HUM:ind
"What are the biggest Indian airports ?" LOC:other
"What was originally defined as one 1-millionth of the distance from the equator to the Pole ?" ENTY:termeq
"Who killed Lee Harvey Oswald ?" HUM:ind
"What U.S. Government agency registers trademarks ?" HUM:gr
"What U.S. Air Force general led the first bombing raid over Tokyo ?" HUM:ind
"What season begins with the vernal equinox ?" NUM:date
"What major Victorian novelist spent as much time working for the post office as he did writing ?" HUM:ind
"What is the name of the kids ' show from Canadian Public TV with the singing pineapple ?" ENTY:cremat
"How many horses died during the civil war ?" NUM:count
"How many years ago did the ship Titanic sink ?" NUM:count
"What is the best Internet business to go into ?" HUM:gr
"What does the name Gina mean ?" DESC:def
"What company is being bought by Yahoo and how much is the deal worth ?" HUM:gr
"What part of their attire were `` pothooks '' to cowboys of the Old West ?" ENTY:other
"What was the first Sam Spade novel ?" ENTY:cremat
"How many Gutenberg Bibles are there ?" NUM:count
"What was the name of the daughter of the Virginia chief Powhatan that married John Rolfe ?" HUM:ind
"When was Florida admitted into the Union ?" NUM:date
"What are the four natural aids used in riding a horse ?" ENTY:techmeth
"Which country did Hitler rule ?" LOC:country
"Where can I find a world atlas map online at no charge ?" LOC:other
"What is a person 's socioeconomic position ?" DESC:def
"What phenomenon would you expect to read about in the monthly publication The Bigfoot News ?" ENTY:event
"Where are the Haversian canals ?" LOC:other
"What does laser stand for ?" DESC:def
"Which side should a bowler facing a 37803 split hit the 3-pin on-the left or the right ?" ENTY:other
"Name of the lady the Great Gatsby pines for ?" HUM:ind
"Why do pharmacists work on raised floors ?" DESC:reason
"By how much will the California state gas tax rise by the year 2000 ?" NUM:money
"How do you say `` fresh '' in Spanish ?" ENTY:termeq
"To get the most caffeine , what soda should I drink ?" ENTY:food
"What is a fear of food ?" ENTY:dismed
"How long does the average domesticated ferret live ?" NUM:period
"Who said , `` I shall return . '' during World War Two ?" HUM:ind
"What is the name of the American literary era that includes 1896 ?" ENTY:event
"When did the Berlin Wall go up ?" NUM:date
"Who is Dear Abby ?" HUM:desc
"Who made a boat out of gopher wood ?" HUM:ind
"What is the origin of the typing practice sentence `` Now is the time for all good men to come to the aid of their country '' ?" DESC:desc
"What is the size of the student body at the University of Massachusetts in Amherst ?" NUM:other
"Who won a Pulitzer Prize for his novel The Caine Mutiny ?" HUM:ind
"How do I find a snowboarding website ?" DESC:manner
"What city has the two steepest streets in the U.S. ?" LOC:city
"What U.S. state has the most blondes ?" LOC:state
"What is the purpose of BIOS ?" DESC:reason
"What is a Jellicle Cat ?" DESC:def
"What is pasta ?" DESC:def
"Where is Inoco based ?" LOC:other
"Which radio stations air the Jim Bohannon Radio Talk Show ?" HUM:gr
"What is the trademark of a Washington Redskin 's fan ?" ENTY:symbol
"When was General Manuel Noriega ousted as the leader of Panama and turned over to U.S. authorities ?" NUM:date
"What is the current ticket fare from from Cairo to Barbados ?" NUM:money
"How long does it take the typical American to eat 23 quarts of ice cream ?" NUM:period
"What happened to Pepsi Clear ?" DESC:desc
"What is the weather like on the moon ?" DESC:desc
"Who is behind the name of the Harvey Wallbanger drink ?" HUM:ind
"When did French revolutionaries storm the Bastille ?" NUM:date
"What does Choo Choo Charlie say ?" DESC:desc
"How was Teddy Roosevelt related to FDR ?" DESC:manner
"How can you tell if someone is lying ?" DESC:manner
"What does the Ouarterly Review of Doublespeak call an `` inoperative statement '' ?" ENTY:termeq
"What kind of guitar did Jimi Hendrix play ?" ENTY:instru
"In what book can I find the story of Aladdin ?" ENTY:cremat
"What is hypertext ?" DESC:def
"How many American actors were nominated for the best actor Oscar for 1983 ?" NUM:count
"Which type of submarine was bought recently by South Korea ?" ENTY:veh
"What is the cause of endangered species ?" DESC:reason
"What does it take to be a hero ?" ENTY:other
"What is Plc ?" DESC:def
"What is probability theory ?" DESC:def
"What carries sperm up into the pelvic region ?" ENTY:body
"How many sperm cells are in an average ejaculation ?" NUM:count
"What was the name of `` The Muppets '' creator ?" HUM:ind
"What 's the traditional drink at the Kentucky Derby ?" ENTY:food
"What does NAFTA stand for ?" ABBR:exp
"Name a canine cartoon character other than Huckleberry Hound to have a voice by Daws Butler ." HUM:ind
"What is the fear of being loved ?" ENTY:dismed
"How many claws has a lobster called a pistol lost ?" NUM:count
"About how many soldiers died in World War II ?" NUM:count
"What are Halloween 's colors ?" ENTY:color
"What 's the most popular form of gambling with women in Las Vegas ?" ENTY:sport
"What percentage of the silver production is done by independent silversmiths ?" NUM:perc
"Who sings Angel Eyes from the 80 's ?" HUM:ind
"What is the origin of the word ` posh ' ?" DESC:desc
"What is the name of the disease that actress Hunter Tylo 's baby girl has ?" ENTY:dismed
"How can you stop the itch from poison ivy ?" DESC:manner
"What was paper made of in the late 16th century ?" ENTY:substance
"How many dots make up the symbol for `` because '' ?" NUM:count
"What level of government or governmental agency is responsible for dealing with racism ?" HUM:gr
"What anesthetic did Queen Victoria allow to be used for the birth of her seventh child , in 1853 ?" ENTY:dismed
"What is a fear of rejection ?" ENTY:dismed
"What 1963 Joseph L. Mankiewicz film cost $28 million ?" ENTY:cremat
"When was the USSR dissolved ?" NUM:date
"What 's the name of Jacques Cousteau 's research ship ?" ENTY:veh
"What money was used here ?" ENTY:currency
"What color are the castellated walls of the Kremlin ?" ENTY:color
"What body of water does the Yukon River empty into ?" LOC:other
"Who did Sonny Liston succeed as world heavyweight boxing champion ?" HUM:ind
"How many real fruit juices are there in a can of Hawaiian Punch ?" NUM:count
"How long does a dog sleep ?" NUM:period
"What singer sings `` Oh Boy '' ?" HUM:ind
"What TV show chronicled the lives of Katy Holstrum and Congressman Glen Morley ?" ENTY:cremat
"What are tourist attractions in Reims ?" LOC:other
"What city did the Mormons establish as their headquarters in 1847 ?" LOC:city
"What is a reliable site that I can download Heretic 2 ?" LOC:other
"What country boasts the most cars per mile of road ?" LOC:country
"Where did makeup originate ?" LOC:other
"What is the difference between the anus and the rectum ?" DESC:desc
"What is titanium ?" DESC:def
"What is the abbreviated term used for the National Bureau of Investigation ?" ABBR:abb
"Which college did Dikembe Mutombo play basketball at ?" HUM:gr
"What are the top ten most common girl names in the US ?" HUM:ind
"How many times a year does the American Gourd Society publish The Gourd ?" NUM:count
"How many queen bees reign in a hive ?" NUM:count
"What ocean does Mauritania border ?" LOC:other
"What country was Kim Philby really working for ?" LOC:country
"How do you get rid on woodpeckers ?" DESC:manner
"What stringed weapon fires a bolt ?" ENTY:other
"What country did the Mau Mau Uprising take place in ?" LOC:country
"What is a fear of crystals or glass ?" ENTY:dismed
"Name the Islamic counterpart to the Red Cross ." ENTY:termeq
"Who invented baseball ?" HUM:ind
"What is the economic impact of unemployment on the economy ?" DESC:desc
"Who did Richard Nixon tender his resignation to ?" HUM:ind
"How old is the sun ?" NUM:period
"When did Hitler come to power in Germany ?" NUM:date
"Who murdered Leno and Rosemary LaBianca on August 1" HUM:ind
"What was the birthplace of Edgar Allen Poe ?" LOC:other
"Which presidents of the USA were Masons ?" HUM:ind
"What late-night TV show features Larry , Bud , Melman and Toast on a Stick ?" ENTY:cremat
"What common plant has a button , cap , cup , gills , and ring ?" ENTY:plant
"Which is a real berry : blackberry , cranberry , raspberry , strawberry ?" ENTY:food
"What are the world 's four oceans ?" LOC:other
"What were Babe Ruth 's Christian names ?" HUM:ind
"How do you tell your parents you are dating an older man ?" DESC:manner
"Why is Rush 's 2112 called 2112 ?" DESC:reason
"What effect does LSD have on the brain ?" DESC:desc
"Who played the title role in I Was a Teenage Werewolf ?" HUM:ind
"What animal has the biggest eyes ?" ENTY:animal
"What are some translations of the phrase `` Thank-you '' ?" ENTY:termeq
"What was the name of the first Watergate special prosecutor , later fired by Nixon ?" HUM:ind
"What two European countries are joined by the Gran San Bernardo Pass ?" LOC:country
"Where is Natchitoches , Louisiana ?" LOC:other
"What are the lyrics to the Star Spangled Banner ?" DESC:desc
"What is the number of American soldiers deployed to South Korea ?" NUM:other
"How many people was Randy Craft convicted of murdering ?" NUM:count
"Why are organ transplants more successful today ?" DESC:reason
"Which medium is Hamblen the first singing cowboy in ?" ENTY:cremat
"Where must a soccer goalie stand to be permitted to handle the ball ?" LOC:other
"What was Simple Simon fishing for in his mother 's pail ?" ENTY:other
"What are the four elements ?" ENTY:substance
"What diamond producer controls about 80% of the world 's diamonds ?" HUM:gr
"Who won the first general election for President held in Malawi in May 1994 ?" HUM:ind
"How can you contact play producers and promoters on-line ?" DESC:manner
"What is RAM in the computer ?" ABBR:exp
"What is a fear of hell ?" ENTY:dismed
"In what war was the first submarine used ?" ENTY:event
"What is the starting salary of a radiographer ?" NUM:money
"What are the names of Richard Nixon 's two daughters ?" HUM:ind
"Which soft drink does Madonna advertise for ?" ENTY:food
"What are some chemical properties of mendelevium ?" DESC:desc
"Where is Rider College ?" LOC:other
"What is the average weight for a man ?" NUM:weight
"In which Kevin Costner movie did Sioux Indians play a role ?" ENTY:cremat
"What animal causes the biggest threat to humans ?" ENTY:animal
"What state produces the best lobster to eat ?" LOC:state
"What 's the American dollar equivalent for 8 pounds in the U.K. ?" NUM:count
"What amount of folic acid should an expectant mother take daily ?" NUM:other
"In order from the top , the four stripes on a can of Pepsi are what colors ?" ENTY:color
"Which hair care product told us `` hate that gray , wash it away '' ?" ENTY:product
"What is a urologist ?" DESC:def
"Name the only extant trilogy of classical Greek plays ." ENTY:cremat
"How is Answers.com funded ?" DESC:manner
"Why do some jets have a vapor trail , and others do not ?" DESC:reason
"What Japanese electronics company was named for a coastal city northeast of Tokyo ?" HUM:gr
"What kind of creatures are black , yellow , and brown bullheads ?" ENTY:animal
"What is hydroelectricity ?" DESC:def
"What is the difference between a median and a mean ?" DESC:desc
"On which dates does the running of the bulls occur in Pamplona , Spain ?" NUM:date
"How many spears are there on Kenya 's flag ?" NUM:count
"What do the French call La Manche ?" ENTY:termeq
"What is pandoro ?" DESC:def
"How can I find out which cities have cable-modem access ?" DESC:manner
"What Stephen King novel is set in a graveyard for pets ?" ENTY:cremat
"What category does the color pink denote in the Trivial Pursuit Baby Boomer Edition ?" DESC:def
"How old is the universe ?" NUM:period
"How many children under 18 are victims of some sort of Physical Abuse each year ?" NUM:count
"Who wrote NN DT NNP NNP '' ?" HUM:ind
"What jockey won 17 Triple Crown races ?" HUM:ind
"What 's the largest letter in Salvador Dali 's signature ?" ENTY:letter
"What first-aid product `` Helps the hurt stop hurting '' ?" ENTY:product
"When will the millennium officially begin ?" NUM:date
"What is Bill Gross 's email address ?" LOC:other
"Which city in Canada is the least-populated ?" LOC:city
"What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?" DESC:desc
"Who is the mathematician that won the Noble Prize for Literature in 1950 ?" HUM:ind
"Which is the wealthiest country in the world ?" LOC:country
"What 's the score of a forfeited baseball game ?" NUM:other
"What South African producer had a 1988 profit of $836 million ?" HUM:gr
"What famous actress made her first appearance on stage at the age of five in the year 191 as `` Baby '' ?" HUM:ind
"What is the name of the 1919 occurrence in which British troops killed over 3 unarmed Indian protestors ?" ENTY:event
"How can I find out how much it costs to raise a baby for six months ?" DESC:manner
"Who 's the twin brother of the Greek goddess Artemis ?" HUM:ind
"What city hosted the first Winter Olympics in Asia ?" LOC:city
"What is the price for tuberculosis drugs ?" NUM:money
"How do you box train a cat ?" DESC:manner
"Where can I find book reviews of `` Turbulent Souls '' ?" LOC:other
"What is the fine for having a dog on a beach ?" NUM:money
"What brand number graces the black label of a bottle of Jack Daniel 's ?" NUM:other
"What Rocky Mountain ridge separates North America 's eastward and westward-flowing rivers ?" LOC:mount
"How do I know if I am pregnant ?" DESC:manner
"What are the characters ' names in the Scooby-Doo cartoon ?" HUM:ind
"What does `` intractable plantar keratoma '' mean ?" DESC:def
"Where did Bill Gates go to college ?" LOC:other
"What predators exist on Antarctica ?" ENTY:animal
"What is the half-life of P-32 ?" DESC:def
"What is meant by the term `` yield to maturity '' in reference to bonds ?" DESC:def
"What tale has the moral : `` He who wants everything gets nothing '' ?" ENTY:cremat
"Who was named Admiral of the Ocean Seas and Viceroy and Governor General of all the islands he might discover , and also granted 10-?? of all profits of his voyage ." HUM:ind
"What is infomatics ?" DESC:def
"Who was considered to be the father of psychology ?" HUM:ind
"What color are school buses ?" ENTY:color
"Who was the lawyer for Randy Craft ?" HUM:ind
"When did the Bounty mutiny take place ?" NUM:date
"Where did cable cars first roll down Clay Street in 1873 ?" LOC:other
"What is a Chinese `` spouting '' bowl ?" DESC:def
"Who is the famous movie star who also acted as sewer commissioner of Provo Canyon , Utah ?" HUM:ind
"Colin Powell is best known for what achievement ?" DESC:reason
"What is the cultural origin of the ceremony of potlatch ?" DESC:desc
"Who killed Gandhi ?" HUM:ind
"What are some good medical sites for information ?" LOC:other
"What is the chance of conceiving quadruplets ?" NUM:perc
"How many inches apart are adjacent pins in tenpin bowling ?" NUM:count
"What is a fear of odors , body , ?" ENTY:dismed
"What letter is to the right of K on a typewriter keyboard ?" ENTY:letter
"What author landed a 468-pound marlin without harness in the early 193 's ?" HUM:ind
"How do you convert foot-pounds to foot-inches ?" DESC:manner
"What 's the geographic term for the submerged fringe of a continent ?" ENTY:termeq
"What is a heuristic ?" DESC:def
"What are the seven seas ?" LOC:other
"Where was Poe born ?" LOC:other
"What type of food makes you fat ?" ENTY:food
"What country in 1998 had the most suicides regardless of population size ?" LOC:country
"Name the U.S. Senate majority leader and the Speaker of the House ." HUM:ind
"What are Britain 's two longest rivers ?" LOC:other
"Who was the original Humpty Dumpty ?" HUM:ind
"What football coach 's story was told in the movie Run to Daylight ?" HUM:ind
"What cards are bullets ?" ENTY:other
"Who was the star witness at the Senate Watergate hearings ?" HUM:ind
"What are the 28 tenses in the English language ?" ENTY:other
"What was the U.S. highway death toll in 1969 ?" NUM:count
"Who was the architect of Central Park ?" HUM:ind
"What country is the worlds leading supplier of cannabis ?" LOC:country
"What Russian seaport has a name meaning `` Lord of the East '' ?" LOC:city
"What facial feature typically contains about 55 hairs ?" DESC:desc
"What European country abandoned postage stamps in 1923 because printing them cost more than their face value ?" LOC:country
"What does VCR stand for ?" ABBR:exp
"What chocolate bar created by Frank Mars and his wife is often called a Milky Way with peanuts ?" ENTY:food
"How old is Stevie Wonder ?" NUM:period
